Open,Close,High,Low,Volume
1235.0999755859375,1236.800048828125,1237.5,1229.0,2834057
1236.800048828125,1237.800048828125,1240.9000244140625,1230.5,3864850
1239.699951171875,1267.300048828125,1267.5,1227.5999755859375,5865805
1267.4000244140625,1273.0,1278.300048828125,1265.300048828125,7625302
1272.0,1295.4000244140625,1298.5,1267.0,4623474
1295.9000244140625,1295.4000244140625,1300.699951171875,1293.0999755859375,3780217
1299.5,1295.0,1301.5999755859375,1291.0999755859375,6228219
1295.0,1289.199951171875,1296.699951171875,1286.300048828125,4428815
1297.0,1296.0999755859375,1306.0,1285.4000244140625,3132753
1296.0999755859375,1297.0,1301.199951171875,1295.0,5021695
